storeType,storeName,storeOwner,storeTelNumber,storeAddress,sd,sgg,storeArea,no,rnum
IT가전_B2B공식인증전문점,㈜블루원,㈜블루원,1661-0195,서울 용산구 효창원로 6-4 금홍2빌딩,서울특별시,용산구,,,15
IT가전_B2B공식인증전문점,㈜서경비투비,㈜서경비투비,010-5670-1492,"부산 동래구 미남로146번길 12, 1층",부산광역시,동래구,,,16
IT가전_B2B공식인증전문점,㈜스마트아이앤씨,㈜스마트아이앤씨,02-3147-0088,서울 마포구 아현동 437-3 고려아카데미텔 1021호,서울특별시,마포구,,,17
IT가전_B2B공식인증전문점,㈜신동비투비,㈜신동비투비,010-8269-7777,서울 송파구 새말로10길 18-1,서울특별시,송파구,,,18
IT가전_B2B공식인증전문점,㈜신한비투비,㈜신한비투비,053-384-5050,대구 북구 유통단지로7길 31-5,대구광역시,북구 ,,,19
IT가전_B2B공식인증전문점,㈜씨씨티비네오텍,㈜씨씨티비네오텍,02-712-7673,서울 금천구 디지털로9길 68 대륭포스트타워 5차 8층 806호,서울특별시,금천구,,,20
IT가전_B2B공식인증전문점,㈜씨앤제이시스템,㈜씨앤제이시스템,010-7635-6114,광주 광산구 하남동 고봉로 125번안길 24,광주광역시,광산구,,,21
IT가전_B2B공식인증전문점,㈜에스엠솔루션,㈜에스엠솔루션,010-4764-0750,경기 하남시 미사강변중앙로 31번길 15 1동 716호？,경기도,하남시,,,22
IT가전_B2B공식인증전문점,㈜에스오공조,㈜에스오공조,010-2504-7754,경기 수원시 팔달구 화서동 93-26 성오스포츠 4층,경기도,수원시,,,23
IT가전_B2B공식인증전문점,㈜에스와이에스리테일,㈜에스와이에스리테일,010-9295-1043,서울 용산구 청파로 74,서울특별시,용산구,,,24
IT가전_B2B공식인증전문점,㈜에어픽,㈜에어픽,010-5002-6532,"경기 화성시 동탄대로 643, 8층 815호",경기도,화성시,,,25
IT가전_B2B공식인증전문점,㈜에프엠비아이지,㈜에프엠비아이지,02-790-6150,"서울 용산구 한강대로15길 9-5, 판디아빌딩 1층",서울특별시,용산구,,,26
IT가전_B2B공식인증전문점,㈜엘에스엘,㈜엘에스엘,010-6619-1291,"경기 파주시 문산읍 봉미로32번길 13, 제비동？제 3층 제 301호",경기도,파주시,,,27
IT가전_B2B공식인증전문점,㈜엠파워시스템,㈜엠파워시스템,02-869-8870,서울 용산구 한강로2가419번지 아스테리움용산 4층,서울특별시,용산구,,,28
IT가전_B2B공식인증전문점,㈜예스특판,㈜예스특판,055-281-9638,"경남 창원시 마산합포구 북성로 5 , 402호",경상남도,창원시,,,29
IT가전_B2B공식인증전문점,㈜올음,㈜올음,1544-0349,부산 강서구 명지오션시티9로 45,부산광역시,강서구,,,30
IT가전_B2B공식인증전문점,㈜위드민네트웍,㈜위드민네트웍,02-837-8880,"서울 금천구 가산디지털2로 70, 608호, (가산동, 대륭테크노타운19차)",서울특별시,금천구,,,31
IT가전_B2B공식인증전문점,㈜이스트림,㈜이스트림,02-712-5454,"서울 금천구 가산디지털2로 18, 601호",서울특별시,금천구,,,32
IT가전_B2B공식인증전문점,㈜이알아이,㈜이알아이,02-464-1644,"서울 광진구 광나루로 56길 85 사무동 403호(구의동, 테크노마트 21)",서울특별시,광진구,,,33
IT가전_B2B공식인증전문점,㈜이지에스,㈜이지에스,010-4512-7943,대구 수성구 알파시티1로 37길 20,대구광역시,수성구,,,34
IT가전_B2B공식인증전문점,㈜제이디코퍼레이션,㈜제이디코퍼레이션,02-2138-3607,"경기 성남시 수정구 위례광장로 19 (창곡동, 아이페리온) 510호",경기도,성남시,,,35
IT가전_B2B공식인증전문점,㈜주원씨앤에스,㈜주원씨앤에스,010-2393-3255,"경기 김포시 양촌읍 김포한강4로 391, 2층",경기도,김포시,,,36
IT가전_B2B공식인증전문점,㈜커넥트링크,㈜커넥트링크,032-712-9001,인천 부평구 대정로 7 219호,인천광역시,부평구,,,37
IT가전_B2B공식인증전문점,㈜케이투비,㈜케이투비,010-4154-8804,"인천 남동구 호구포로 139, 청류지산 지식산업센터 509호",인천광역시,남동구,,,38
IT가전_B2B공식인증전문점,㈜트러스트솔루션,㈜트러스트솔루션,010-2234-4580,"서울 구로구 디지털로 243, 706호(구로동,지하이시티)",서울특별시,구로구,,,39
IT가전_B2B공식인증전문점,㈜티앤티솔루션,㈜티앤티솔루션,02-716-0547,"서울 광진구 구의동 596-6 티앤티솔루션빌딩 (5, 6층)",서울특별시,광진구,,,40
IT가전_B2B공식인증전문점,㈜티에스인터네셔널,㈜티에스인터네셔널,010-3626-0840,"부산 사하구 장평로299번길 7, 3층",부산광역시,사하구,,,41
IT가전_B2B공식인증전문점,㈜파인즈,㈜파인즈,02-6461-8580,"서울 송파구 법원로9길 26, C-206 (문정동, 에이치비즈니스파크)",서울특별시,송파구,,,42
IT가전_B2B공식인증전문점,㈜퓨쳐아이넷,㈜퓨쳐아이넷,02-848-0104,"서울 영등포구 신길동, 1351-3번지",서울특별시,영등포,,,43
IT가전_B2B공식인증전문점,㈜프렌즈웍스,㈜프렌즈웍스,033-761-9778,강원 원주시 양지로 68-1,강원도,원주시,,,44
IT가전_B2B공식인증전문점,㈜하주씨앤씨,㈜하주씨앤씨,010-8572-7184,서울 용산구 원효로41길 34？,서울특별시,용산구,,,45
IT가전_B2B공식인증전문점,㈜한빛멀티시스템,㈜한빛멀티시스템,02-463-8892,서울 성동구 왕십리로 14길 13 4층,서울특별시,성동구,,,46
IT가전_B2B공식인증전문점,㈜한양비투비,㈜한양비투비,070-4348-5728,"경남 진주시 서장대로 213번길 15, 한양빌딩",경상남도,진주시,,,47
IT가전_B2B공식인증전문점,골든,골든,010-6409-5671,대전 유성구 유성대로 510 오토월드 225호,대전광역시,유성구,,,48
IT가전_B2B공식인증전문점,글로벌비투비,글로벌비투비,010-8986-3279,"경기 화성시 동탄순환대로 878, 동탄IT타워 207,208호",경기도,화성시,,,49
IT가전_B2B공식인증전문점,나우비투비,나우비투비,010-2747-0747,대전 서구 둔산남로 184 1층,대전광역시,서구 ,,,50
IT가전_B2B공식인증전문점,드림정보시스템,드림정보시스템,010-3602-9156</br>062-525-2710,"광주 북구 용봉동, 1350-1번지",광주광역시,북구 ,,,51
IT가전_B2B공식인증전문점,라온테크,라온테크,010-6403-7945,"대전 서구 만년로67번길？34-26, 305호(만년동, 만년스퀘어)",대전광역시,서구 ,,,52
IT가전_B2B공식인증전문점,미디어메이트,미디어메이트,02-2693-6733,서울 양천구 목동로 23길 1 3층,서울특별시,양천구,,,53
IT가전_B2B공식인증전문점,미르앤사람들,미르앤사람들,010-8004-8679,충북 청주시 상당구 용담로 21번길 24,충청북도,청주시,,,54
IT가전_B2B공식인증전문점,바름비투비,바름비투비,033-746-3650,강원 원주시 서원대로 266,강원도,원주시,,,55
IT가전_B2B공식인증전문점,바이츠,바이츠,02-6958-8164,경기 파주시 와석순환로 511 2층 203호,경기도,파주시,,,56
IT가전_B2B공식인증전문점,베스트B2B,베스트B2B,010-4748-4266,부산 사하구 승학로 47-4 102호,부산광역시,사하구,,,57
IT가전_B2B공식인증전문점,베스트케어플러스㈜,베스트케어플러스㈜,010-9588-3720,"서울 강남구 논현로 515 아승빌딩 2층 (역삼동, 아승빌딩)",서울특별시,강남구,,,58
IT가전_B2B공식인증전문점,브랜즈웰,브랜즈웰,02-3453-3342,서울 강남구 논현로 94길 32 5층,서울특별시,강남구,,,59
IT가전_B2B공식인증전문점,비엔솔루션,비엔솔루션,070-8780-5034,"인천 부평구 부평대로 337, 820~822호",인천광역시,부평구,,,60
IT가전_B2B공식인증전문점,스마트 솔루션,스마트 솔루션,010-3579-2377,"광주 서구 군분2로 54, 237호, (화정동, 금호월드)",광주광역시,서구 ,,,61
IT가전_B2B공식인증전문점,스마트인㈜,스마트인㈜,070-4117-0461,서울 강서구 공항대로 190 1005호(마곡동 프리마타워),서울특별시,강서구,,,62
IT가전_B2B공식인증전문점,스타일비투비,스타일비투비,010-5610-6295<br/>062-954-6294,"광주 광산구 왕버들로252번길 10 수완대라수어썸테라스 상가동 405호, 406호",광주광역시,광산구,,,63
IT가전_B2B공식인증전문점,아바마니아,아바마니아,055-364-9770,경남 양산시 금오4길 33,경상남도,양산시,,,64
IT가전_B2B공식인증전문점,아이티서브,아이티서브,070-7727-0209,"서울 용산구 원효로 53길 50, 1층 (주)아이티서브",서울특별시,용산구,,,65
IT가전_B2B공식인증전문점,에스씨엔씨,에스씨엔씨,010-9002-8960,경기 파주시 가람로 116번길 107 운정한강듀클래스 218호,경기도,파주시,,,66
IT가전_B2B공식인증전문점,에스앤지솔루션,에스앤지솔루션,010-7767-0406,"서울 영등포구 여의서로 43, 816호, (여의도동, 한서리버파크), 07239, KR",서울특별시,영등포,,,67
IT가전_B2B공식인증전문점,에이텍씨앤,에이텍씨앤,031-698-7930,경기 성남시 분당구 판교로 289,경기도,성남시,,,68
IT가전_B2B공식인증전문점,엘에스솔루션㈜,엘에스솔루션㈜,010-5761-6040,경기 구리시 갈매동 510 구리스마트벤쳐타워 710호,경기도,구리시,,,69
IT가전_B2B공식인증전문점,온누리에어컨㈜,온누리에어컨㈜,010-3210-3616,경기 하남시 감초로131번길 36-48,경기도,하남시,,,70
IT가전_B2B공식인증전문점,와이티에스,와이티에스,02-716-5556,서울 마포구 마포대로 15 현대빌딩 204호,서울특별시,마포구,,,71
IT가전_B2B공식인증전문점,유건홀딩스㈜,유건홀딩스㈜,02-474-1666,경기 하남시 조정대로 45 미사센텀비즈 F510,경기도,하남시,,,72
IT가전_B2B공식인증전문점,유니서브,유니서브,02-701-9553,서울 용산구 원효로 19길 59 한미빌딩 1층,서울특별시,용산구,,,73
IT가전_B2B공식인증전문점,이라인비즈,이라인비즈,02-761-3982,서울 동작구 여의대방로26길 24 드림타워 3층？,서울특별시,동작구,,,74
IT가전_B2B공식인증전문점,일진씨앤씨㈜,일진씨앤씨㈜,070-7596-2130,경남 창원시 마산합포구 합포로 250,경상남도,창원시,,,75
IT가전_B2B공식인증전문점,제이에스엠,제이에스엠,010-6870-9986,경기 남양주시 다산지금로202 현대테라타워 A동 8층 31호,경기도,남양주,,,76
IT가전_B2B공식인증전문점,제이제이컴비즈,제이제이컴비즈,010-2027-8357,서울 마포구 독막로 331 마스터즈타워 1607호,서울특별시,마포구,,,77
IT가전_B2B공식인증전문점,제주비투비㈜,제주비투비㈜,010-7171-2837,제주 제주시 애조로 1864,제주도,제주시,,,78
IT가전_B2B공식인증전문점,주식회사 비케이공조시스템즈,주식회사 비케이공조시스템즈,070-7834-4878,부산 수영구 광남로31 9층,부산광역시,수영구,,,79
IT가전_B2B공식인증전문점,지원커머셜,지원커머셜,010-7422-0311,대전 서구 배재로 155-40 배재대 하워드관 H214호,대전광역시,서구 ,,,80
IT가전_B2B공식인증전문점,지이스토리,지이스토리,02-711-9071,서울 용산구 백범로90라길 47 E스퀘어 2층,서울특별시,용산구,,,81
IT가전_B2B공식인증전문점,청마비앤지,청마비앤지,010-2231-1622,"인천 서구 승학로483번길 2, 우정프라자 302호",인천광역시,서구 ,,,82
IT가전_B2B공식인증전문점,퍼스트,퍼스트,010-2446-8282,충북 청주시 서원구 궁뜰로 21,충청북도,청주시,,,83
IT가전_B2B공식인증전문점,포에이테크,포에이테크,010-9075-3267,"서울 금천구 가산디지털1로 19, 대륭테크노타운 18차 13층",서울특별시,금천구,,,84
IT가전_B2B공식인증전문점,하이큐,하이큐,031-707-6119,경기 성남시 분당구 야탑동 150번지 분당 테크노파크 A동 703호,경기도,성남시,,,85
IT가전_B2B공식인증전문점,행복프라자,행복프라자,010-8230-5528,대구 북구 유통단지로 45 1층 51호 행복프라자,대구광역시,북구 ,,,86
IT가전_B2B공식인증전문점,(주)디지탈노뜨,(주)디지탈노뜨,02-3465-2600,"서울 서초구 효령로 304 11층 52,53호",서울특별시,서초구,,,87
IT가전_B2B공식인증전문점,(주)이피코리아,(주)이피코리아,010-8745-0703,서울 성동구 아차산로116 삼연빌딩,서울특별시,성동구,,,88
IT가전_B2B공식인증전문점,(주)지엘비투비,(주)지엘비투비,010-5799-5540,제주 제주시 인다9길 27,제주도,제주시,,,89
CAC_공식인증전문점,TAC공조설비㈜,TAC공조설비㈜,051-207-7771,부산 사상구 새벽시장로 141-1,부산광역시,사상구,,,1
CAC_공식인증전문점,㈜가람이엔지,㈜가람이엔지,031-795-1346,경기 하남시 미사강변중앙로 170번길 10 5층 502호,경기도,하남시,,,2
CAC_공식인증전문점,㈜가전각색,㈜가전각색,02-567-3133,경기 부천시 원미구 정주로 53,경기도,부천시,,,3
CAC_공식인증전문점,㈜강원브이아이피시스템 ,㈜강원브이아이피시스템 ,033-263-6166,강원 춘천시 동내면 동내로 141 2층,강원도,춘천시,,,4
CAC_공식인증전문점,㈜경기공조시스템,㈜경기공조시스템,031-238-1500,"경기 화성시 정남면 서봉로 855, 201호",경기도,화성시,,,5
CAC_공식인증전문점,㈜고래솔루션,㈜고래솔루션,010-8630-1447,충남 아산시 탕정면 이순신대로 442？ 4층 417호,충청남도,아산시,,,6
CAC_공식인증전문점,㈜금강이앤지,㈜금강이앤지,041-855-7779,충남 공주시 무령로 294,충청남도,공주시,,,7
CAC_공식인증전문점,㈜네오시스이노베이션,㈜네오시스이노베이션,1544-6352,"서울 송파구 법원로8길 8, 문정역2차 SK V1 7층 703,704호",서울특별시,송파구,,,8
CAC_공식인증전문점,㈜뉴에어솔루션,㈜뉴에어솔루션,02-849-7767,"서울 영등포구 여의대방로 61길2, 909호 (신길동, 천록빌딩)",서울특별시,영등포,,,9
CAC_공식인증전문점,㈜다온이엔지,㈜다온이엔지,031-5180-3366,"경기 하남시 하남대로947, 하남테크노밸리 U1센터 D동 1214호",경기도,하남시,,,10
CAC_공식인증전문점,㈜다원에어시스,㈜다원에어시스,1555-7726,세종시 소정면 소정구길 228,세종특별자치시, 소정,,,11
CAC_공식인증전문점,㈜대림공조,㈜대림공조,053-981-6777,대구 북구 호국로 17,대구광역시,북구 ,,,12
CAC_공식인증전문점,㈜대신공조,㈜대신공조,053-755-3637,대구 북구 대현동 227-16,대구광역시,북구 ,,,13
CAC_공식인증전문점,㈜대한공조,㈜대한공조,053-567-3434,대구시 달성군 가창면 가창로 1106-7,대구광역시, 달성,,,14
CAC_공식인증전문점,㈜동영,㈜동영,054-774-8181,경북 포항시 남구 효자동 604-2번지 동영빌딩 3층,경상북도,포항시,,,15
CAC_공식인증전문점,㈜동형공조,㈜동형공조,053-753-2331,대구광역시 북구 유통단지로3길 4-11 (산격동) 2층,대구광역시,역시 ,,,16
CAC_공식인증전문점,㈜미래공조,㈜미래공조,032-565-7771,인천 서구 승학로 516,인천광역시,서구 ,,,17
CAC_공식인증전문점,㈜미래이앤씨,㈜미래이앤씨,062-710-7150,광주 광산구 신창동 643-1,광주광역시,광산구,,,18
CAC_공식인증전문점,㈜바람숲시스템,㈜바람숲시스템,070-7608-6349,"경기 남양주시 순화궁로 249 제지식산업센터 2동 M1820호(별내동, 별내역 파라곤스퀘어)",경기도,남양주,,,19
CAC_공식인증전문점,㈜부강에프앤지,㈜부강에프앤지,02-439-7788,"서울 중랑구 신내역로 111 A동 709호, 신내 SK V1 CENTER",서울특별시,중랑구,,,20
CAC_공식인증전문점,㈜부흥공조,㈜부흥공조,031-794-9999,경기 하남시 감초로69번길 26,경기도,하남시,,,21
CAC_공식인증전문점,㈜비에스에어텍,㈜비에스에어텍,02-3430-1961,"경기 고양시 덕양구 청초로 10 A동 12층 AB12-1205호(덕은동, 지엘메트로시티한강)",경기도,고양시,,,22
CAC_공식인증전문점,㈜비엘파트너스,㈜비엘파트너스,051-715-5751,"부산 북구 덕천로 381번길 46, 4층",부산광역시,북구,,,23
CAC_공식인증전문점,㈜삼양인터내셔날,㈜삼양인터내셔날,02-3670-9670,"서울 종로구 계동길 31 (재동, 보헌빌딩)",서울특별시,종로구,,,24
CAC_공식인증전문점,㈜삼영시스템공조,㈜삼영시스템공조,051-808-7555,부산 부산진구 시민공원로 19번길 53-13,부산광역시,부산진,,,25
CAC_공식인증전문점,㈜삼원시스템즈,㈜삼원시스템즈,031-373-1761,경기 화성시 동탄기흥로 257번가길 19 (방교동),경기도,화성시,,,26
CAC_공식인증전문점,㈜새론이엔에스,㈜새론이엔에스,02-6257-0841,"경기 과천시 과천대로7길 33, A동 805호 (갈현동, 디 테크 타워 과천)",경기도,과천시,,,27
CAC_공식인증전문점,㈜새한공조,㈜새한공조,064-762-7036,제주 서귀포시 일주동로 8383 (토평동),제주도,서귀포,,,28
CAC_공식인증전문점,㈜성운이엔지,㈜성운이엔지,042-935-9989,"대전 유성구 테크노2로 319, 에이동 (탑립동)",대전광역시,유성구,,,29
CAC_공식인증전문점,㈜세원공조시스템,㈜세원공조시스템,1544-1464,"경기 평택시 고덕면 문곡2길 27, A동 1층",경기도,평택시,,,30
CAC_공식인증전문점,㈜센시스템 ,㈜센시스템 ,053-621-0058,대구 동구 팔공로 227 1층,대구광역시,동구 ,,,31
CAC_공식인증전문점,㈜센텀공조이엔지,㈜센텀공조이엔지,051-759-1665,부산 해운대구 반여로 155번지 다길 41  3층,부산광역시,해운대,,,32
CAC_공식인증전문점,㈜신화공조기술,㈜신화공조기술,02-597-9779,"서울 서초구 동광로 12가길 3, 인재빌딩 4층",서울특별시,서초구,,,33
CAC_공식인증전문점,㈜아라비앤에이,㈜아라비앤에이,02-2693-6733,"서울 양천구 목동로23길 1, 3층 (신정동) ",서울특별시,양천구,,,34
CAC_공식인증전문점,㈜아이스하우스,㈜아이스하우스,031-557-0563,경기 남양주시 남양주시 다산지금로 202 현대테라타워DIMC B동 7층 0049~0052호,경기도,남양주,,,35
CAC_공식인증전문점,㈜아이제이시스템공조 ,㈜아이제이시스템공조 ,051-504-9119,부산 부산진구 황령대로64번길 28(전포동),부산광역시,부산진,,,36
CAC_공식인증전문점,㈜아이티솔루션,㈜아이티솔루션,02-2633-1712,서울 영등포구 양평로157 선유도투웨니퍼스트밸리 1712호,서울특별시,영등포,,,37
CAC_공식인증전문점,㈜에너지컨설팅,㈜에너지컨설팅,070-4667-6711,인천 남동구 서창남순환로 62(서창동),인천광역시,남동구,,,38
CAC_공식인증전문점,㈜에스오공조,㈜에스오공조,031-245-8883,경기 수원시 팔달구 팔달로 105 성오스포츠센터 4층,경기도,수원시,,,39
CAC_공식인증전문점,㈜에스오에스공조 ,㈜에스오에스공조 ,062-575-1136,광주 광산구 아산길 14,광주광역시,광산구,,,40
CAC_공식인증전문점,㈜에스티이엔지,㈜에스티이엔지,051-328-0997,부산 해운대구 재반로 142-6 2층,부산광역시,해운대,,,41
CAC_공식인증전문점,㈜에어비씨,㈜에어비씨,02-488-4312,"서울 중랑구 신내역로3길 40-36, B동 3층 312호 (신내동, 신내데시앙플렉스)",서울특별시,중랑구,,,42
CAC_공식인증전문점,㈜에어컨구미총판,㈜에어컨구미총판,054-457-0400,경북 구미시 박정희로 409,경상북도,구미시,,,43
CAC_공식인증전문점,㈜에어컨설팅,㈜에어컨설팅,1566-9855,"부산 강서구 명지국제13로가길 1, 1층 (명지동)",부산광역시,강서구,,,44
CAC_공식인증전문점,㈜에어컨총판,㈜에어컨총판,031-386-7272,경기 안양시 동안구 흥안대로 94번길 68 양우내안애펠리스 상가 212호,경기도,안양시,,,45
CAC_공식인증전문점,㈜에어코딩 (구.강서에어컨총판),㈜에어코딩 (구.강서에어컨총판),02-2663-4488,"서울 강서구 화곡로 68길 15, 1105호, 가양아벨테크노지식산업센터",서울특별시,강서구,,,46
CAC_공식인증전문점,㈜에이디이앤씨,㈜에이디이앤씨,031-8023-9696,"서울 송파구 위례순환로 478, 9층 901호~904호 (장지동, 센트라포레)",서울특별시,송파구,,,47
CAC_공식인증전문점,㈜에이스원시스템,㈜에이스원시스템,02-3664-5660,"서울 강서구 마곡중앙1로 20, 마곡M시그니처, 917-918호",서울특별시,강서구,,,48
CAC_공식인증전문점,㈜에이케이시스템앤솔루션,㈜에이케이시스템앤솔루션,02-501-9984,"서울 송파구 송파대로 260, 제일오피스텔 1301호",서울특별시,송파구,,,49
CAC_공식인증전문점,㈜엘림공조,㈜엘림공조,1544-1033,경기 고양시 일산동구 노첨길 74 엘림공조,경기도,고양시,,,50
CAC_공식인증전문점,㈜예스특판 ,㈜예스특판 ,055-281-9635,경남 창원시 마산합포구 북성로5 창동 오피스텔 402호,경상남도,창원시,,,51
CAC_공식인증전문점,㈜오륜공조,㈜오륜공조,02-484-1602,"서울 강동구 성내로14길 30, 오륜빌딩 5층",서울특별시,강동구,,,52
CAC_공식인증전문점,㈜오케이시스템,㈜오케이시스템,033-766-7878,"강원 원주시 남원로 592, 지하1층 (명륜동, 대영빌딩)",강원도,원주시,,,53
CAC_공식인증전문점,㈜올바른시스템,㈜올바른시스템,055-339-2227,경남 김해시 삼계중앙로5번길 15 1층,경상남도,김해시,,,54
CAC_공식인증전문점,㈜원일공조,㈜원일공조,031-274-7777,"경기 성남시 중원구 사기막골로 148, 제지1층 제비105호, 제비106호(상대원동)",경기도,성남시,,,55
CAC_공식인증전문점,㈜웰스코리아,㈜웰스코리아,02-6097-6001~2,서울 영등포구 당산로 41길 11 SK V1센터 W동 B139,서울특별시,영등포,,,56
CAC_공식인증전문점,㈜위더원,㈜위더원,010-3443-0026,"경기 의왕시 광진말로 54, 비동 632호 (초평동)",경기도,의왕시,,,57
CAC_공식인증전문점,㈜윈디,㈜윈디,1533-2545,대구 동구 도평로 10-23,대구광역시,동구 ,,,58
CAC_공식인증전문점,㈜유봄이엔지,㈜유봄이엔지,02-6952-2400,"서울 강서구 공항대로 219, 9층 919호 (마곡동, 센테니아)",서울특별시,강서구,,,59
CAC_공식인증전문점,㈜유신공조시스템,㈜유신공조시스템,054-433-7706,대구 수성구 고모로 116,대구광역시,수성구,,,60
CAC_공식인증전문점,㈜유앤아이시스템,㈜유앤아이시스템,055-243-2422,"경남 창원시 마산합포구 중앙동1가, 1-28 1층",경상남도,창원시,,,61
CAC_공식인증전문점,㈜으뜸공조,㈜으뜸공조,02-2291-6688,"서울 성동구 성수이로 10길 14 (에이스하이엔드성수타워), 901호",서울특별시,성동구,,,62
CAC_공식인증전문점,㈜이노에스티,㈜이노에스티,02-1811-7478,"서울 송파구 동남로4길 19, 2층 (문정동)",서울특별시,송파구,,,63
CAC_공식인증전문점,㈜이엠이앤지 ,㈜이엠이앤지 ,070-7510-8800,서울 강남구 논현로26길 18-4 2층,서울특별시,강남구,,,64
CAC_공식인증전문점,㈜이젠아이,㈜이젠아이,02-515-3300,서울 강남구 언주로 129길 20 한국관세사회관 3층,서울특별시,강남구,,,65
CAC_공식인증전문점,㈜이좋은공조,㈜이좋은공조,02-749-8944,"서울 용산구 백범로90라길 47, 4층(이스퀘어)",서울특별시,용산구,,,66
CAC_공식인증전문점,㈜이천공조,㈜이천공조,031-633-0018,경기 이천시 호법면 안평리 61,경기도,이천시,,,67
CAC_공식인증전문점,㈜일진공조,㈜일진공조,061-745-0888,전남 순천시 해룡산단5로 87,전라남도,순천시,,,68
CAC_공식인증전문점,㈜정진이앤지,㈜정진이앤지,1588-2065,"충남 서산시 홍천로 47, 2층 (잠흥동, 현주빌딩)",충청남도,서산시,,,69
CAC_공식인증전문점,㈜제이앤지,㈜제이앤지,063-271-3207,전북 전주시 완산구 효자동 2가쑥고개로 208,전라북도,전주시,,,70
CAC_공식인증전문점,㈜제주공조,㈜제주공조,064-745-9977,제주 제주시 연삼로 92 (오라삼동),제주도,제주시,,,71
CAC_공식인증전문점,㈜주원씨앤아이,㈜주원씨앤아이,031-976-7878,경기 김포시 양촌읍 김포한강4로 391,경기도,김포시,,,72
CAC_공식인증전문점,㈜준형,㈜준형,042-935-6975,대전 유성구 유성대로 1434(방현동 420번지),대전광역시,유성구,,,73
CAC_공식인증전문점,㈜케이엘 공조,㈜케이엘 공조,1644-8482,"경기 수원시 권선구 호매실로 21-36, 행정타운프라자 404/405호",경기도,수원시,,,74
CAC_공식인증전문점,㈜코리아엔지니어링,㈜코리아엔지니어링,031-488-8400,경기 시흥시 동서로 180-4,경기도,시흥시,,,75
CAC_공식인증전문점,㈜크린공조시스템,㈜크린공조시스템,02-717-1222,서울 용산구 원효로35길 47,서울특별시,용산구,,,76
CAC_공식인증전문점,㈜큰산공조,㈜큰산공조,055-785-3377,경남 양산시 산막공단북9길 53 (산막동),경상남도,양산시,,,77
CAC_공식인증전문점,㈜태등,㈜태등,062 -382-3884,광주 서구 상무대로 873,광주광역시,서구 ,,,78
CAC_공식인증전문점,㈜태륭이엔씨 ,㈜태륭이엔씨 ,02-2185-0070,경기 고양시 일산동구 호수로 358-39 동문타워1차 520호,경기도,고양시,,,79
CAC_공식인증전문점,㈜태원시스템,㈜태원시스템,042-489-8751,대전 서구 도산로470 1층,대전광역시,서구 ,,,80
CAC_공식인증전문점,㈜토퍼스엔지니어링,㈜토퍼스엔지니어링,02-3439-2880,"서울 영등포구 경인로 775, 1동 602호 (문래동3가, 에이스하이테크시티)",서울특별시,영등포,,,81
CAC_공식인증전문점,㈜티앤티온,㈜티앤티온,02-718-7800,"서울 용산구 새창로 101 용문동, 충영빌딩 4층",서울특별시,용산구,,,82
CAC_공식인증전문점,㈜풍림공조시스템,㈜풍림공조시스템,02-2163-8822,"서울 구로구 디지털로 31길 62 (구로동, 에이스아티스포럼 1216, 1217호)",서울특별시,구로구,,,83
